id,timemodified,userid,courseid,finalgrade,itemtype
344728,1674567497,8860,670,6,course
344486,1674565040,8860,670,5,mod
343493,1674217553,8860,670,1,mod
343492,1674217553,8860,670,1,mod
343491,1674217553,8860,670,0,mod
343490,1674217370,8860,670,1,mod
343489,1674217370,8860,670,9,mod
339189,1672748135,8860,670,7,mod
339182,1672743317,8860,670,5,mod
338894,1672679405,8860,670,7,mod
338684,1672672247,8860,670,8,mod
336409,1672745625,8860,670,3,mod
336408,1672747789,8860,670,7,mod
334744,1672748396,8860,670,7,mod
334043,1672747512,8860,670,7,mod
333049,1672742829,8860,670,10,mod
308207,1672742326,8860,670,10,mod
